Price,Close,High,Low,Open,Volume
Ticker,GS,GS,GS,GS,GS
Date,,,,,
2024-12-27,573.3370361328125,579.0885459178735,568.5308510552961,574.152997420693,1486000
2024-12-30,570.719970703125,573.1778147817766,562.311652645626,564.4709891346023,1265900
2024-12-31,569.7945556640625,574.0733263230475,567.5855388096729,572.2324789443894,1055800
2025-01-02,572.1329345703125,581.4268755516999,566.9287600467767,576.451546719564,2219000
2025-01-03,577.2675170898438,579.267609029517,568.9089402257158,578.1332194616433,1422600
2025-01-06,580.511474609375,590.7208598388064,576.9590822747249,582.0935952829425,2257000
2025-01-07,577.257568359375,585.3773393170098,565.5954263089835,584.2130685998658,2021900
2025-01-08,577.1580810546875,578.3322514030884,569.8443110311279,578.1730068650701,1513400
2025-01-10,557.2368774414062,573.4066975457328,555.256706112224,573.4066975457328,2817900
2025-01-13,560.1723022460938,563.396305709082,554.0128425368429,555.1273113701228,1871200
2025-01-14,568.7099609375,570.759793966432,562.4111776936386,566.8491320976598,2221900
2025-01-15,602.9302368164062,606.4030066504565,590.0740040209952,595.0493328913241,5119800
2025-01-16,609.9653930664062,613.7964329501206,603.0098926361126,606.9801955781087,3224500
2025-01-17,622.8515014648438,623.906268804116,609.9753473316158,614.7516511182449,3425200
2025-01-21,631.6080322265625,632.2946300318894,605.9950492231417,613.7665103971198,5076700
2025-01-22,629.6079711914062,632.4638052104028,626.6029137411505,630.3144897814915,2835700
2025-01-23,636.3446044921875,642.354780299774,631.359314917819,631.787185940813,2582700
2025-01-24,633.7574462890625,637.4391412430531,625.8566212334756,626.8914678240569,3183500
2025-01-27,630.1553344726562,632.5733372147815,621.3788463342014,621.9161600322293,3351700
2025-01-28,634.6529541015625,635.9266674758908,628.6925196863151,629.0806099238679,2338000
2025-01-29,634.2350463867188,645.7977061590752,633.2698009761124,633.856916522852,1918900
2025-01-30,642.5139770507812,646.3151355637842,637.8371558052543,641.3099256100621,1812800
2025-01-31,637.2401733398438,646.7927808870379,634.2947566580267,646.7927808870379,1996200
2025-02-03,629.249755859375,635.3295933286759,619.4085405091406,622.9111915643173,2102600
2025-02-04,631.0508422851562,634.5236123226923,625.9859912094255,628.8816060586666,1743400
2025-02-05,642.2652587890625,643.2204831260218,632.3942226584892,634.8520061317896,1908200
2025-02-06,654.97216796875,655.5990642683045,645.7379891203533,646.7927564168425,2439200
2025-02-07,652.6636962890625,660.5943417301326,649.9371649229578,656.1464266625708,2616700
2025-02-10,647.3201904296875,659.2211386456553,641.0711479915528,655.7682894378177,2351600
2025-02-11,644.04638671875,645.8374930343217,640.4243325853511,643.5886953147913,2711400
2025-02-12,645.7977294921875,647.2604471231554,635.9565137686044,640.5835942134192,2295800
2025-02-13,645.7479858398438,648.782924490122,637.349627762176,648.6137803036734,2031800
2025-02-14,657.2907104492188,659.9873606659447,647.1112066199131,647.1112066199131,2246000
2025-02-18,668.873291015625,668.873291015625,657.7584228941585,659.3206835080543,2350100
2025-02-19,664.853271484375,667.72896563093,660.0073056571426,665.7786754361176,1953600
2025-02-20,639.0910034179688,666.97276800822,628.543268953053,664.7338698426388,3929000
2025-02-21,622.5131225585938,644.3050872551057,620.3538468392574,641.5686563825936,3000800
2025-02-24,623.050537109375,634.1554451158222,611.7664638065346,630.3841674617418,3274100
2025-02-25,611.8759155273438,628.2049801482735,603.0099055206192,625.428768289077,2885900
2025-02-26,614.7218017578125,620.0553397226495,612.1644754342184,613.6271929675844,2001200
2025-02-27,605.0,622.1449641177528,604.3134021759033,614.4929057673404,2396300
2025-02-28,622.2899780273438,623.6500244140625,604.010009765625,607.7899780273438,3337200
2025-03-03,605.260009765625,628.780029296875,598.3200073242188,622.4000244140625,3152300
2025-03-04,581.1400146484375,600.0,567.5700073242188,595.97998046875,4061000
2025-03-05,593.0700073242188,597.1199951171875,576.780029296875,582.0900268554688,2600600
2025-03-06,567.6699829101562,586.7100219726562,564.6199951171875,580.5900268554688,4332300
2025-03-07,559.6699829101562,568.1699829101562,544.9099731445312,568.1699829101562,4069600
